Compagnie,Prime,ID,TypeBesoin,TypeBesoinDetails,AgeCar,OtherDriver,CarteGrise,Genre,DateNaissance,Age,SituationMatrimoniale,Profession,DateObtentionPermis,ConduiteAccompagné,DateNaissanceConjoint,DatePermisConjoint,Enfants_a_charge,Annee_Enfant_1,Annee_Enfant_2,Annee_Enfant_3,DateAchat,DateAchat_Prevue,DateCirculation,ID_vehicule_occasion,Marque_occasion,Modele_occasion,Alimentation_occasion,Carrosserie_occasion,Puissance_occasion,categorie_commerciale_vehicule_occasion,qualification_vehicule_vert_occasion,valeur_a_neuf_vehicule_ocassion,groupe_tarification_vehicule_occasion,classe_tarification_vehicule_occasion,code_type_frequence_bdg_occasion,code_type_cout_bdg_occasion,code_vente_vehicule_occasion,code_type_frequence_rcm_occasion,code_type_frequence_rcc_occasion,code_type_frequence_dta_occasion,code_type_frequence_vol_occasion,Marque_vehicule_neuf,Modele_vehicule_neuf,Alimentation_vehicule_neuf,Carrosserie_vehicule_neuf,Puissance_vehicule_neuf,ID_vehicule_neuf,valeur_a_neuf_vehiculeNeuve,groupe_tarification_vehicule_Neuve,classe_tarification_vehicule_Neuve,puissance_reel_vehicule_Neuve,categorie_commerciale_vehicule_Neuve,qualification_vehicule_vert_Neuve,code_type_frequence_rcm_Neuve,code_type_frequence_rcc_Neuve,code_type_cout_rcm_Neuve,code_type_frequence_dta_Neuve,code_type_frequence_vol_Neuve,code_type_cout_vol_Neuve,code_type_frequence_bdg_Neuve,code_type_cout_bdg_Neuve,code_vente_vehicule_Neuve,ModeFinancement,Usage,KmParcours,CP_Stationnement,Ville_Stationnement,ResidenceType,TypeLocation,CP_Travail,Ville_Travail,nom_departement,code_departement,code_region,Type_Parking,TypeAssure,NbreAnneeAssure,Bonus,NbreAnneePossessionVeh,CtrActuel,AssureurActuel,NiveauProtection,Date_scraping
"	
Groupe Vilavi",389 €,354372,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Une femme,12/03/1967,57,Marié(e),Fonctionnaire territorial,03/1998,Non,22/09/1939,07/2008,Oui,2019,2013,2000,N/A,27/12/2024,11/2005,AU15545,AUDI,A6,DIES,BRK,15,H1,0,50230,14,J,12,12,99,5,5,12,7,,,,,,,,,,,,,,,,,,,,,,D,3,20000,38260,38069,2,1,42310,42203,Isère,38,84,V,S,26,120,0,E,88,A,16/09/2024
"	
Groupe Allianz",399 €,354372,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Une femme,12/03/1967,57,Marié(e),Fonctionnaire territorial,03/1998,Non,22/09/1939,07/2008,Oui,2019,2013,2000,N/A,27/12/2024,11/2005,AU15545,AUDI,A6,DIES,BRK,15,H1,0,50230,14,J,12,12,99,5,5,12,7,,,,,,,,,,,,,,,,,,,,,,D,3,20000,38260,38069,2,1,42310,42203,Isère,38,84,V,S,26,120,0,E,88,A,16/09/2024
"	
Groupe AXA",462 €,354372,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Une femme,12/03/1967,57,Marié(e),Fonctionnaire territorial,03/1998,Non,22/09/1939,07/2008,Oui,2019,2013,2000,N/A,27/12/2024,11/2005,AU15545,AUDI,A6,DIES,BRK,15,H1,0,50230,14,J,12,12,99,5,5,12,7,,,,,,,,,,,,,,,,,,,,,,D,3,20000,38260,38069,2,1,42310,42203,Isère,38,84,V,S,26,120,0,E,88,A,16/09/2024
"	
Assurpeople.com",293 €,701170,Vous comptez l'acheter,D'une voiture supplémentaire,D'occasion,Non,Vous,Une femme,18/01/2002,22,Marié(e),Enseignant,06/2021,Non,14/10/1977,02/2024,Non,non,non,non,N/A,19/01/2025,11/2016,CI59020,CITROEN,C4 II,CARB,BER,7,M1,0,21700,12,C,5,11,99,9,6,9,5,,,,,,,,,,,,,,,,,,,,,,D,1,12500,72610,72034,2,1,85700,85140,Sarthe,72,52,C,P,3,0.85,0,E,70,A,16/09/2024
"	
GMF",345 €,701170,Vous comptez l'acheter,D'une voiture supplémentaire,D'occasion,Non,Vous,Une femme,18/01/2002,22,Marié(e),Enseignant,06/2021,Non,14/10/1977,02/2024,Non,non,non,non,N/A,19/01/2025,11/2016,CI59020,CITROEN,C4 II,CARB,BER,7,M1,0,21700,12,C,5,11,99,9,6,9,5,,,,,,,,,,,,,,,,,,,,,,D,1,12500,72610,72034,2,1,85700,85140,Sarthe,72,52,C,P,3,0.85,0,E,70,A,16/09/2024
"	
MAAF Assurances",415 €,701170,Vous comptez l'acheter,D'une voiture supplémentaire,D'occasion,Non,Vous,Une femme,18/01/2002,22,Marié(e),Enseignant,06/2021,Non,14/10/1977,02/2024,Non,non,non,non,N/A,19/01/2025,11/2016,CI59020,CITROEN,C4 II,CARB,BER,7,M1,0,21700,12,C,5,11,99,9,6,9,5,,,,,,,,,,,,,,,,,,,,,,D,1,12500,72610,72034,2,1,85700,85140,Sarthe,72,52,C,P,3,0.85,0,E,70,A,16/09/2024
"	
Active Assurances",415 €,701170,Vous comptez l'acheter,D'une voiture supplémentaire,D'occasion,Non,Vous,Une femme,18/01/2002,22,Marié(e),Enseignant,06/2021,Non,14/10/1977,02/2024,Non,non,non,non,N/A,19/01/2025,11/2016,CI59020,CITROEN,C4 II,CARB,BER,7,M1,0,21700,12,C,5,11,99,9,6,9,5,,,,,,,,,,,,,,,,,,,,,,D,1,12500,72610,72034,2,1,85700,85140,Sarthe,72,52,C,P,3,0.85,0,E,70,A,16/09/2024
"	
Groupe Vilavi",448 €,701170,Vous comptez l'acheter,D'une voiture supplémentaire,D'occasion,Non,Vous,Une femme,18/01/2002,22,Marié(e),Enseignant,06/2021,Non,14/10/1977,02/2024,Non,non,non,non,N/A,19/01/2025,11/2016,CI59020,CITROEN,C4 II,CARB,BER,7,M1,0,21700,12,C,5,11,99,9,6,9,5,,,,,,,,,,,,,,,,,,,,,,D,1,12500,72610,72034,2,1,85700,85140,Sarthe,72,52,C,P,3,0.85,0,E,70,A,16/09/2024
"	
Groupe Vilavi",463 €,701170,Vous comptez l'acheter,D'une voiture supplémentaire,D'occasion,Non,Vous,Une femme,18/01/2002,22,Marié(e),Enseignant,06/2021,Non,14/10/1977,02/2024,Non,non,non,non,N/A,19/01/2025,11/2016,CI59020,CITROEN,C4 II,CARB,BER,7,M1,0,21700,12,C,5,11,99,9,6,9,5,,,,,,,,,,,,,,,,,,,,,,D,1,12500,72610,72034,2,1,85700,85140,Sarthe,72,52,C,P,3,0.85,0,E,70,A,16/09/2024
"	
Groupe Allianz",480 €,701170,Vous comptez l'acheter,D'une voiture supplémentaire,D'occasion,Non,Vous,Une femme,18/01/2002,22,Marié(e),Enseignant,06/2021,Non,14/10/1977,02/2024,Non,non,non,non,N/A,19/01/2025,11/2016,CI59020,CITROEN,C4 II,CARB,BER,7,M1,0,21700,12,C,5,11,99,9,6,9,5,,,,,,,,,,,,,,,,,,,,,,D,1,12500,72610,72034,2,1,85700,85140,Sarthe,72,52,C,P,3,0.85,0,E,70,A,16/09/2024
"	
Groupe AXA",486 €,701170,Vous comptez l'acheter,D'une voiture supplémentaire,D'occasion,Non,Vous,Une femme,18/01/2002,22,Marié(e),Enseignant,06/2021,Non,14/10/1977,02/2024,Non,non,non,non,N/A,19/01/2025,11/2016,CI59020,CITROEN,C4 II,CARB,BER,7,M1,0,21700,12,C,5,11,99,9,6,9,5,,,,,,,,,,,,,,,,,,,,,,D,1,12500,72610,72034,2,1,85700,85140,Sarthe,72,52,C,P,3,0.85,0,E,70,A,16/09/2024
"	
Groupe Admiral",493 €,701170,Vous comptez l'acheter,D'une voiture supplémentaire,D'occasion,Non,Vous,Une femme,18/01/2002,22,Marié(e),Enseignant,06/2021,Non,14/10/1977,02/2024,Non,non,non,non,N/A,19/01/2025,11/2016,CI59020,CITROEN,C4 II,CARB,BER,7,M1,0,21700,12,C,5,11,99,9,6,9,5,,,,,,,,,,,,,,,,,,,,,,D,1,12500,72610,72034,2,1,85700,85140,Sarthe,72,52,C,P,3,0.85,0,E,70,A,16/09/2024
"	
MMA",934 €,414419,Vous comptez l'acheter,D'une voiture supplémentaire,Neuve,Non,Vous,Un homme,19/04/1947,77,Divorcé(e),Salarié Cadre,06/2021,Non,,,Non,non,non,non,N/A,17/07/2025,03/2000,PE24392,PEUGEOT,306,CARB,BER,11,M1,0,17899,15,C,5,8,99,6,6,10,9,FIAT,500X,DIES,VTC,6,FI50135,27490,13,D,120,M1,1,5,4,10,5,4,7,8,12,99,C,2,10000,33540,33399,2,1,37220,37040,Gironde,33,75,C,S,3,0.85,0,E,17,E,16/09/2024
"	
Groupe AXA",1 004 €,414419,Vous comptez l'acheter,D'une voiture supplémentaire,Neuve,Non,Vous,Un homme,19/04/1947,77,Divorcé(e),Salarié Cadre,06/2021,Non,,,Non,non,non,non,N/A,17/07/2025,03/2000,PE24392,PEUGEOT,306,CARB,BER,11,M1,0,17899,15,C,5,8,99,6,6,10,9,FIAT,500X,DIES,VTC,6,FI50135,27490,13,D,120,M1,1,5,4,10,5,4,7,8,12,99,C,2,10000,33540,33399,2,1,37220,37040,Gironde,33,75,C,S,3,0.85,0,E,17,E,16/09/2024
"	
Active Assurances",1 034 €,414419,Vous comptez l'acheter,D'une voiture supplémentaire,Neuve,Non,Vous,Un homme,19/04/1947,77,Divorcé(e),Salarié Cadre,06/2021,Non,,,Non,non,non,non,N/A,17/07/2025,03/2000,PE24392,PEUGEOT,306,CARB,BER,11,M1,0,17899,15,C,5,8,99,6,6,10,9,FIAT,500X,DIES,VTC,6,FI50135,27490,13,D,120,M1,1,5,4,10,5,4,7,8,12,99,C,2,10000,33540,33399,2,1,37220,37040,Gironde,33,75,C,S,3,0.85,0,E,17,E,16/09/2024
"	
MAAF Assurances",1 144 €,414419,Vous comptez l'acheter,D'une voiture supplémentaire,Neuve,Non,Vous,Un homme,19/04/1947,77,Divorcé(e),Salarié Cadre,06/2021,Non,,,Non,non,non,non,N/A,17/07/2025,03/2000,PE24392,PEUGEOT,306,CARB,BER,11,M1,0,17899,15,C,5,8,99,6,6,10,9,FIAT,500X,DIES,VTC,6,FI50135,27490,13,D,120,M1,1,5,4,10,5,4,7,8,12,99,C,2,10000,33540,33399,2,1,37220,37040,Gironde,33,75,C,S,3,0.85,0,E,17,E,16/09/2024
"	
GMF",1 206 €,414419,Vous comptez l'acheter,D'une voiture supplémentaire,Neuve,Non,Vous,Un homme,19/04/1947,77,Divorcé(e),Salarié Cadre,06/2021,Non,,,Non,non,non,non,N/A,17/07/2025,03/2000,PE24392,PEUGEOT,306,CARB,BER,11,M1,0,17899,15,C,5,8,99,6,6,10,9,FIAT,500X,DIES,VTC,6,FI50135,27490,13,D,120,M1,1,5,4,10,5,4,7,8,12,99,C,2,10000,33540,33399,2,1,37220,37040,Gironde,33,75,C,S,3,0.85,0,E,17,E,16/09/2024
"	
Groupe Allianz",1 727 €,414419,Vous comptez l'acheter,D'une voiture supplémentaire,Neuve,Non,Vous,Un homme,19/04/1947,77,Divorcé(e),Salarié Cadre,06/2021,Non,,,Non,non,non,non,N/A,17/07/2025,03/2000,PE24392,PEUGEOT,306,CARB,BER,11,M1,0,17899,15,C,5,8,99,6,6,10,9,FIAT,500X,DIES,VTC,6,FI50135,27490,13,D,120,M1,1,5,4,10,5,4,7,8,12,99,C,2,10000,33540,33399,2,1,37220,37040,Gironde,33,75,C,S,3,0.85,0,E,17,E,16/09/2024
"	
Groupe Vilavi",1 801 €,414419,Vous comptez l'acheter,D'une voiture supplémentaire,Neuve,Non,Vous,Un homme,19/04/1947,77,Divorcé(e),Salarié Cadre,06/2021,Non,,,Non,non,non,non,N/A,17/07/2025,03/2000,PE24392,PEUGEOT,306,CARB,BER,11,M1,0,17899,15,C,5,8,99,6,6,10,9,FIAT,500X,DIES,VTC,6,FI50135,27490,13,D,120,M1,1,5,4,10,5,4,7,8,12,99,C,2,10000,33540,33399,2,1,37220,37040,Gironde,33,75,C,S,3,0.85,0,E,17,E,16/09/2024
"	
Groupe Admiral",1 802 €,414419,Vous comptez l'acheter,D'une voiture supplémentaire,Neuve,Non,Vous,Un homme,19/04/1947,77,Divorcé(e),Salarié Cadre,06/2021,Non,,,Non,non,non,non,N/A,17/07/2025,03/2000,PE24392,PEUGEOT,306,CARB,BER,11,M1,0,17899,15,C,5,8,99,6,6,10,9,FIAT,500X,DIES,VTC,6,FI50135,27490,13,D,120,M1,1,5,4,10,5,4,7,8,12,99,C,2,10000,33540,33399,2,1,37220,37040,Gironde,33,75,C,S,3,0.85,0,E,17,E,16/09/2024
"	
Groupe Vilavi",1 842 €,414419,Vous comptez l'acheter,D'une voiture supplémentaire,Neuve,Non,Vous,Un homme,19/04/1947,77,Divorcé(e),Salarié Cadre,06/2021,Non,,,Non,non,non,non,N/A,17/07/2025,03/2000,PE24392,PEUGEOT,306,CARB,BER,11,M1,0,17899,15,C,5,8,99,6,6,10,9,FIAT,500X,DIES,VTC,6,FI50135,27490,13,D,120,M1,1,5,4,10,5,4,7,8,12,99,C,2,10000,33540,33399,2,1,37220,37040,Gironde,33,75,C,S,3,0.85,0,E,17,E,16/09/2024
"	
AcommeAssure",2 763 €,414419,Vous comptez l'acheter,D'une voiture supplémentaire,Neuve,Non,Vous,Un homme,19/04/1947,77,Divorcé(e),Salarié Cadre,06/2021,Non,,,Non,non,non,non,N/A,17/07/2025,03/2000,PE24392,PEUGEOT,306,CARB,BER,11,M1,0,17899,15,C,5,8,99,6,6,10,9,FIAT,500X,DIES,VTC,6,FI50135,27490,13,D,120,M1,1,5,4,10,5,4,7,8,12,99,C,2,10000,33540,33399,2,1,37220,37040,Gironde,33,75,C,S,3,0.85,0,E,17,E,16/09/2024
"	
MMA",452 €,973351,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Un homme,13/02/1965,59,Célibataire,Salarié,03/2016,Non,,,Non,non,non,non,N/A,14/08/2025,11/2016,VW50025,VOLKSWAGEN,GOLF SPORTSVAN,CARB,MSP,7,M1,0,24740,11,C,8,7,99,4,4,9,3,,,,,,,,,,,,,,,,,,,,,,C,2,12500,31160,31431,1,1,33580,33150,Haute-Garonne,31,76,J,S,8,0.64,0,E,75,C,16/09/2024
"	
MAAF Assurances",548 €,973351,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Un homme,13/02/1965,59,Célibataire,Salarié,03/2016,Non,,,Non,non,non,non,N/A,14/08/2025,11/2016,VW50025,VOLKSWAGEN,GOLF SPORTSVAN,CARB,MSP,7,M1,0,24740,11,C,8,7,99,4,4,9,3,,,,,,,,,,,,,,,,,,,,,,C,2,12500,31160,31431,1,1,33580,33150,Haute-Garonne,31,76,J,S,8,0.64,0,E,75,C,16/09/2024
"	
Groupe Allianz",602 €,973351,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Un homme,13/02/1965,59,Célibataire,Salarié,03/2016,Non,,,Non,non,non,non,N/A,14/08/2025,11/2016,VW50025,VOLKSWAGEN,GOLF SPORTSVAN,CARB,MSP,7,M1,0,24740,11,C,8,7,99,4,4,9,3,,,,,,,,,,,,,,,,,,,,,,C,2,12500,31160,31431,1,1,33580,33150,Haute-Garonne,31,76,J,S,8,0.64,0,E,75,C,16/09/2024
"	
Groupe Admiral",626 €,973351,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Un homme,13/02/1965,59,Célibataire,Salarié,03/2016,Non,,,Non,non,non,non,N/A,14/08/2025,11/2016,VW50025,VOLKSWAGEN,GOLF SPORTSVAN,CARB,MSP,7,M1,0,24740,11,C,8,7,99,4,4,9,3,,,,,,,,,,,,,,,,,,,,,,C,2,12500,31160,31431,1,1,33580,33150,Haute-Garonne,31,76,J,S,8,0.64,0,E,75,C,16/09/2024
"	
GMF",658 €,973351,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Un homme,13/02/1965,59,Célibataire,Salarié,03/2016,Non,,,Non,non,non,non,N/A,14/08/2025,11/2016,VW50025,VOLKSWAGEN,GOLF SPORTSVAN,CARB,MSP,7,M1,0,24740,11,C,8,7,99,4,4,9,3,,,,,,,,,,,,,,,,,,,,,,C,2,12500,31160,31431,1,1,33580,33150,Haute-Garonne,31,76,J,S,8,0.64,0,E,75,C,16/09/2024
"	
Groupe Vilavi",850 €,973351,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Un homme,13/02/1965,59,Célibataire,Salarié,03/2016,Non,,,Non,non,non,non,N/A,14/08/2025,11/2016,VW50025,VOLKSWAGEN,GOLF SPORTSVAN,CARB,MSP,7,M1,0,24740,11,C,8,7,99,4,4,9,3,,,,,,,,,,,,,,,,,,,,,,C,2,12500,31160,31431,1,1,33580,33150,Haute-Garonne,31,76,J,S,8,0.64,0,E,75,C,16/09/2024
"	
Groupe Vilavi",859 €,973351,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Un homme,13/02/1965,59,Célibataire,Salarié,03/2016,Non,,,Non,non,non,non,N/A,14/08/2025,11/2016,VW50025,VOLKSWAGEN,GOLF SPORTSVAN,CARB,MSP,7,M1,0,24740,11,C,8,7,99,4,4,9,3,,,,,,,,,,,,,,,,,,,,,,C,2,12500,31160,31431,1,1,33580,33150,Haute-Garonne,31,76,J,S,8,0.64,0,E,75,C,16/09/2024
"	
Active Assurances",860 €,973351,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Un homme,13/02/1965,59,Célibataire,Salarié,03/2016,Non,,,Non,non,non,non,N/A,14/08/2025,11/2016,VW50025,VOLKSWAGEN,GOLF SPORTSVAN,CARB,MSP,7,M1,0,24740,11,C,8,7,99,4,4,9,3,,,,,,,,,,,,,,,,,,,,,,C,2,12500,31160,31431,1,1,33580,33150,Haute-Garonne,31,76,J,S,8,0.64,0,E,75,C,16/09/2024
"	
AMV",1 126 €,973351,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Un homme,13/02/1965,59,Célibataire,Salarié,03/2016,Non,,,Non,non,non,non,N/A,14/08/2025,11/2016,VW50025,VOLKSWAGEN,GOLF SPORTSVAN,CARB,MSP,7,M1,0,24740,11,C,8,7,99,4,4,9,3,,,,,,,,,,,,,,,,,,,,,,C,2,12500,31160,31431,1,1,33580,33150,Haute-Garonne,31,76,J,S,8,0.64,0,E,75,C,16/09/2024
"	
Groupe AXA",1 139 €,973351,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Un homme,13/02/1965,59,Célibataire,Salarié,03/2016,Non,,,Non,non,non,non,N/A,14/08/2025,11/2016,VW50025,VOLKSWAGEN,GOLF SPORTSVAN,CARB,MSP,7,M1,0,24740,11,C,8,7,99,4,4,9,3,,,,,,,,,,,,,,,,,,,,,,C,2,12500,31160,31431,1,1,33580,33150,Haute-Garonne,31,76,J,S,8,0.64,0,E,75,C,16/09/2024
"	
Groupe AXA",536 €,398199,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,06/07/1971,53,Célibataire,Salarié Cadre,06/2012,Oui,,,Non,non,non,non,10/2007,,12/2005,BM59203,BMW,SERIE 3,DIES,CPE,15,M2,0,45800,16,H,12,13,99,6,8,14,7,,,,,,,,,,,,,,,,,,,,,,D,1,10000,64570,64225,2,1,62179,62899,Pyrénées-Atlantiques,64,75,P,S,12,0.51,6,A,71,C,16/09/2024
