Compagnie,Prime,ID,TypeBesoin,TypeBesoinDetails,AgeCar,OtherDriver,CarteGrise,Genre,DateNaissance,Age,SituationMatrimoniale,Profession,DateObtentionPermis,ConduiteAccompagné,DateNaissanceConjoint,DatePermisConjoint,Enfants_a_charge,Annee_Enfant_1,Annee_Enfant_2,Annee_Enfant_3,DateAchat,DateAchat_Prevue,DateCirculation,ID_vehicule_occasion,Marque_occasion,Modele_occasion,Alimentation_occasion,Carrosserie_occasion,Puissance_occasion,categorie_commerciale_vehicule_occasion,qualification_vehicule_vert_occasion,valeur_a_neuf_vehicule_ocassion,groupe_tarification_vehicule_occasion,classe_tarification_vehicule_occasion,code_type_frequence_bdg_occasion,code_type_cout_bdg_occasion,code_vente_vehicule_occasion,code_type_frequence_rcm_occasion,code_type_frequence_rcc_occasion,code_type_frequence_dta_occasion,code_type_frequence_vol_occasion,Marque_vehicule_neuf,Modele_vehicule_neuf,Alimentation_vehicule_neuf,Carrosserie_vehicule_neuf,Puissance_vehicule_neuf,ID_vehicule_neuf,valeur_a_neuf_vehiculeNeuve,groupe_tarification_vehicule_Neuve,classe_tarification_vehicule_Neuve,puissance_reel_vehicule_Neuve,categorie_commerciale_vehicule_Neuve,qualification_vehicule_vert_Neuve,code_type_frequence_rcm_Neuve,code_type_frequence_rcc_Neuve,code_type_cout_rcm_Neuve,code_type_frequence_dta_Neuve,code_type_frequence_vol_Neuve,code_type_cout_vol_Neuve,code_type_frequence_bdg_Neuve,code_type_cout_bdg_Neuve,code_vente_vehicule_Neuve,ModeFinancement,Usage,KmParcours,CP_Stationnement,Ville_Stationnement,ResidenceType,TypeLocation,CP_Travail,Ville_Travail,nom_departement,code_departement,code_region,Type_Parking,TypeAssure,NbreAnneeAssure,Bonus,NbreAnneePossessionVeh,CtrActuel,AssureurActuel,NiveauProtection,Date_scraping
"	
Groupe Vilavi",832 €,3153,Vous comptez l'acheter,D'une première voiture,Neuve,Non,Vous,Une femme,14/01/1988,36,Divorcé(e),Profession libérale,12/2009,Non,,,Non,non,non,non,N/A,28/01/2025,12/2005,CI44052,CITROEN,C8,CARB,MSP,10,H1,0,33800,12,E,7,13,99,11,4,10,2,VOLKSWAGEN,TIGUAN,DIES,VTC,8,VW42392,49000,14,H,150,TT,0,10,4,9,7,4,12,11,12,99,C,2,10000,54680,54149,2,1,54290,54245,Meurthe-et-Moselle,54,44,P,P,14,10,0,E,33,D,16/09/2024
"	
Groupe Vilavi",873 €,3153,Vous comptez l'acheter,D'une première voiture,Neuve,Non,Vous,Une femme,14/01/1988,36,Divorcé(e),Profession libérale,12/2009,Non,,,Non,non,non,non,N/A,28/01/2025,12/2005,CI44052,CITROEN,C8,CARB,MSP,10,H1,0,33800,12,E,7,13,99,11,4,10,2,VOLKSWAGEN,TIGUAN,DIES,VTC,8,VW42392,49000,14,H,150,TT,0,10,4,9,7,4,12,11,12,99,C,2,10000,54680,54149,2,1,54290,54245,Meurthe-et-Moselle,54,44,P,P,14,10,0,E,33,D,16/09/2024
"	
AMV",902 €,3153,Vous comptez l'acheter,D'une première voiture,Neuve,Non,Vous,Une femme,14/01/1988,36,Divorcé(e),Profession libérale,12/2009,Non,,,Non,non,non,non,N/A,28/01/2025,12/2005,CI44052,CITROEN,C8,CARB,MSP,10,H1,0,33800,12,E,7,13,99,11,4,10,2,VOLKSWAGEN,TIGUAN,DIES,VTC,8,VW42392,49000,14,H,150,TT,0,10,4,9,7,4,12,11,12,99,C,2,10000,54680,54149,2,1,54290,54245,Meurthe-et-Moselle,54,44,P,P,14,10,0,E,33,D,16/09/2024
"	
MAAF Assurances",823 €,5265,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,31/08/1984,40,Marié(e),Retraité,10/2019,Non,27/07/1963,12/1985,Oui,2020,non,non,04/2024,,02/2024,BM73751,BMW,SERIE 2,CARB,CAB,7,M1,0,43600,12,G,8,13,99,10,6,14,7,,,,,,,,,,,,,,,,,,,,,,C,1,10000,73210,73006,1,1,92600,92004,Savoie,73,84,P,S,4,0.8,0,A,82,E,16/09/2024
"	
Abeille Assurances",897 €,5265,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,31/08/1984,40,Marié(e),Retraité,10/2019,Non,27/07/1963,12/1985,Oui,2020,non,non,04/2024,,02/2024,BM73751,BMW,SERIE 2,CARB,CAB,7,M1,0,43600,12,G,8,13,99,10,6,14,7,,,,,,,,,,,,,,,,,,,,,,C,1,10000,73210,73006,1,1,92600,92004,Savoie,73,84,P,S,4,0.8,0,A,82,E,16/09/2024
"	
Groupe AXA",930 €,5265,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,31/08/1984,40,Marié(e),Retraité,10/2019,Non,27/07/1963,12/1985,Oui,2020,non,non,04/2024,,02/2024,BM73751,BMW,SERIE 2,CARB,CAB,7,M1,0,43600,12,G,8,13,99,10,6,14,7,,,,,,,,,,,,,,,,,,,,,,C,1,10000,73210,73006,1,1,92600,92004,Savoie,73,84,P,S,4,0.8,0,A,82,E,16/09/2024
"	
Groupe Admiral",1 163 €,5265,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,31/08/1984,40,Marié(e),Retraité,10/2019,Non,27/07/1963,12/1985,Oui,2020,non,non,04/2024,,02/2024,BM73751,BMW,SERIE 2,CARB,CAB,7,M1,0,43600,12,G,8,13,99,10,6,14,7,,,,,,,,,,,,,,,,,,,,,,C,1,10000,73210,73006,1,1,92600,92004,Savoie,73,84,P,S,4,0.8,0,A,82,E,16/09/2024
"	
GMF",1 195 €,5265,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,31/08/1984,40,Marié(e),Retraité,10/2019,Non,27/07/1963,12/1985,Oui,2020,non,non,04/2024,,02/2024,BM73751,BMW,SERIE 2,CARB,CAB,7,M1,0,43600,12,G,8,13,99,10,6,14,7,,,,,,,,,,,,,,,,,,,,,,C,1,10000,73210,73006,1,1,92600,92004,Savoie,73,84,P,S,4,0.8,0,A,82,E,16/09/2024
"	
SOS Malus",1 280 €,5265,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,31/08/1984,40,Marié(e),Retraité,10/2019,Non,27/07/1963,12/1985,Oui,2020,non,non,04/2024,,02/2024,BM73751,BMW,SERIE 2,CARB,CAB,7,M1,0,43600,12,G,8,13,99,10,6,14,7,,,,,,,,,,,,,,,,,,,,,,C,1,10000,73210,73006,1,1,92600,92004,Savoie,73,84,P,S,4,0.8,0,A,82,E,16/09/2024
"	
Active Assurances",1 589 €,5265,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,31/08/1984,40,Marié(e),Retraité,10/2019,Non,27/07/1963,12/1985,Oui,2020,non,non,04/2024,,02/2024,BM73751,BMW,SERIE 2,CARB,CAB,7,M1,0,43600,12,G,8,13,99,10,6,14,7,,,,,,,,,,,,,,,,,,,,,,C,1,10000,73210,73006,1,1,92600,92004,Savoie,73,84,P,S,4,0.8,0,A,82,E,16/09/2024
"	
Groupe Allianz",1 595 €,5265,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,31/08/1984,40,Marié(e),Retraité,10/2019,Non,27/07/1963,12/1985,Oui,2020,non,non,04/2024,,02/2024,BM73751,BMW,SERIE 2,CARB,CAB,7,M1,0,43600,12,G,8,13,99,10,6,14,7,,,,,,,,,,,,,,,,,,,,,,C,1,10000,73210,73006,1,1,92600,92004,Savoie,73,84,P,S,4,0.8,0,A,82,E,16/09/2024
"	
Groupe Vilavi",2 038 €,5265,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,31/08/1984,40,Marié(e),Retraité,10/2019,Non,27/07/1963,12/1985,Oui,2020,non,non,04/2024,,02/2024,BM73751,BMW,SERIE 2,CARB,CAB,7,M1,0,43600,12,G,8,13,99,10,6,14,7,,,,,,,,,,,,,,,,,,,,,,C,1,10000,73210,73006,1,1,92600,92004,Savoie,73,84,P,S,4,0.8,0,A,82,E,16/09/2024
"	
Groupe Vilavi",2 079 €,5265,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,31/08/1984,40,Marié(e),Retraité,10/2019,Non,27/07/1963,12/1985,Oui,2020,non,non,04/2024,,02/2024,BM73751,BMW,SERIE 2,CARB,CAB,7,M1,0,43600,12,G,8,13,99,10,6,14,7,,,,,,,,,,,,,,,,,,,,,,C,1,10000,73210,73006,1,1,92600,92004,Savoie,73,84,P,S,4,0.8,0,A,82,E,16/09/2024
"	
Groupe Admiral",373 €,1424,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Une femme,26/11/1996,27,Concubin(e) / vie maritale,Etudiant,12/2014,Non,29/01/1947,06/1975,Non,non,non,non,N/A,17/04/2025,12/2005,FI28250,FIAT,DUCATO,DIES,FGN,9,U2,0,27909,14,C,11,11,99,15,9,7,9,,,,,,,,,,,,,,,,,,,,,,L,3,30000,49120,49092,1,1,60150,60689,Maine-et-Loire,49,52,C,S,9,0.6,0,E,77,C,16/09/2024
"	
MAAF Assurances",429 €,1424,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Une femme,26/11/1996,27,Concubin(e) / vie maritale,Etudiant,12/2014,Non,29/01/1947,06/1975,Non,non,non,non,N/A,17/04/2025,12/2005,FI28250,FIAT,DUCATO,DIES,FGN,9,U2,0,27909,14,C,11,11,99,15,9,7,9,,,,,,,,,,,,,,,,,,,,,,L,3,30000,49120,49092,1,1,60150,60689,Maine-et-Loire,49,52,C,S,9,0.6,0,E,77,C,16/09/2024
"	
MMA",463 €,1424,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Une femme,26/11/1996,27,Concubin(e) / vie maritale,Etudiant,12/2014,Non,29/01/1947,06/1975,Non,non,non,non,N/A,17/04/2025,12/2005,FI28250,FIAT,DUCATO,DIES,FGN,9,U2,0,27909,14,C,11,11,99,15,9,7,9,,,,,,,,,,,,,,,,,,,,,,L,3,30000,49120,49092,1,1,60150,60689,Maine-et-Loire,49,52,C,S,9,0.6,0,E,77,C,16/09/2024
"	
Active Assurances",503 €,1424,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Une femme,26/11/1996,27,Concubin(e) / vie maritale,Etudiant,12/2014,Non,29/01/1947,06/1975,Non,non,non,non,N/A,17/04/2025,12/2005,FI28250,FIAT,DUCATO,DIES,FGN,9,U2,0,27909,14,C,11,11,99,15,9,7,9,,,,,,,,,,,,,,,,,,,,,,L,3,30000,49120,49092,1,1,60150,60689,Maine-et-Loire,49,52,C,S,9,0.6,0,E,77,C,16/09/2024
"	
Groupe Allianz",600 €,1424,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Une femme,26/11/1996,27,Concubin(e) / vie maritale,Etudiant,12/2014,Non,29/01/1947,06/1975,Non,non,non,non,N/A,17/04/2025,12/2005,FI28250,FIAT,DUCATO,DIES,FGN,9,U2,0,27909,14,C,11,11,99,15,9,7,9,,,,,,,,,,,,,,,,,,,,,,L,3,30000,49120,49092,1,1,60150,60689,Maine-et-Loire,49,52,C,S,9,0.6,0,E,77,C,16/09/2024
"	
Groupe AXA",606 €,1424,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Une femme,26/11/1996,27,Concubin(e) / vie maritale,Etudiant,12/2014,Non,29/01/1947,06/1975,Non,non,non,non,N/A,17/04/2025,12/2005,FI28250,FIAT,DUCATO,DIES,FGN,9,U2,0,27909,14,C,11,11,99,15,9,7,9,,,,,,,,,,,,,,,,,,,,,,L,3,30000,49120,49092,1,1,60150,60689,Maine-et-Loire,49,52,C,S,9,0.6,0,E,77,C,16/09/2024
"	
GMF",663 €,1424,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Une femme,26/11/1996,27,Concubin(e) / vie maritale,Etudiant,12/2014,Non,29/01/1947,06/1975,Non,non,non,non,N/A,17/04/2025,12/2005,FI28250,FIAT,DUCATO,DIES,FGN,9,U2,0,27909,14,C,11,11,99,15,9,7,9,,,,,,,,,,,,,,,,,,,,,,L,3,30000,49120,49092,1,1,60150,60689,Maine-et-Loire,49,52,C,S,9,0.6,0,E,77,C,16/09/2024
